,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
4706,4707,81.0,0.0,USA,60000.0,140530114.0,186786,3400.0,360.0,0,19.0,170.0,170.0,39.0,399,6.4,Good
2988,2989,100.0,0.0,USA,12000000.0,,763,10.0,2.0,135,55.0,3000.0,642.0,212.0,4277,5.7,Fair
1315,1316,94.0,1.0,USA,40000000.0,511920.0,2458,26.0,41.0,211,0.0,795.0,754.0,379.0,2449,4.4,Fair
1480,1481,93.0,1.0,Australia,30000000.0,,11482,82.0,145.0,0,0.0,465.0,351.0,174.0,1361,5.2,Fair
4962,4963,82.0,0.0,USA,20000.0,,73,4.0,2.0,178,7.0,143.0,134.0,50.0,417,3.2,Bad
1527,1528,89.0,0.0,USA,30000000.0,21426805.0,49312,211.0,195.0,0,21.0,614.0,150.0,48.0,843,4.9,Fair
3876,3877,133.0,0.0,India,150000000.0,199228.0,7295,49.0,12.0,504,12.0,464.0,374.0,106.0,1045,7.2,Good
1839,1840,139.0,0.0,USA,22000000.0,58328680.0,54096,494.0,153.0,0,0.0,3000.0,693.0,648.0,5458,7.5,Good
3085,3086,111.0,0.0,USA,11000000.0,1066555.0,2618,111.0,43.0,411,58.0,482.0,362.0,258.0,1526,5.8,Fair
4016,4017,148.0,0.0,USA,3500000.0,,30434,55.0,44.0,5000,41.0,2000.0,774.0,739.0,5526,8.4,Excellent
4935,4936,88.0,0.0,USA,83532.0,30859000.0,96411,826.0,277.0,0,365.0,383.0,371.0,177.0,1094,7.5,Good
3056,3057,86.0,4.0,Canada,11000000.0,4814244.0,12437,107.0,66.0,405,4.0,960.0,448.0,424.0,2415,5.3,Fair
686,687,105.0,1.0,France,65000000.0,10014234.0,8560,69.0,60.0,177,0.0,975.0,909.0,506.0,3580,5.0,Fair
4207,4208,96.0,0.0,USA,2500000.0,322157.0,61787,203.0,238.0,19000,571.0,2000.0,973.0,370.0,4590,6.8,Good
3883,3884,112.0,0.0,UK,2300000.0,62549000.0,41361,148.0,63.0,0,277.0,1000.0,530.0,327.0,2412,7.3,Good
3819,3820,99.0,3.0,Germany,4000000.0,274385.0,29203,26.0,115.0,0,766.0,595.0,486.0,269.0,1519,7.3,Good
4759,4760,95.0,0.0,UK,500000.0,,1006,11.0,48.0,808,3.0,30.0,27.0,25.0,119,7.3,Good
639,640,117.0,0.0,USA,,27550735.0,27481,113.0,178.0,12000,44.0,788.0,562.0,531.0,3524,6.8,Good
4454,4455,76.0,0.0,France,,231186.0,2082,16.0,92.0,389,412.0,412.0,4.0,3.0,421,6.3,Good
1011,1012,100.0,5.0,USA,40000000.0,19118247.0,19829,94.0,59.0,779,65.0,1000.0,923.0,730.0,6171,5.4,Fair
405,406,100.0,1.0,USA,85000000.0,66941559.0,26413,77.0,84.0,372,36.0,2000.0,795.0,439.0,4182,4.8,Fair
1625,1626,98.0,1.0,USA,37000000.0,56044241.0,122187,339.0,119.0,0,56.0,3000.0,2000.0,533.0,6742,6.1,Good
1745,1746,94.0,0.0,USA,29000000.0,6301131.0,92850,263.0,161.0,0,11.0,1000.0,948.0,566.0,5085,7.1,Good
154,155,133.0,3.0,USA,145000000.0,209364921.0,365104,512.0,432.0,35000,663.0,10000.0,10000.0,690.0,21768,7.4,Good
212,213,106.0,0.0,USA,125000000.0,163192114.0,229679,637.0,344.0,15000,255.0,14000.0,1000.0,850.0,18003,5.8,Fair
3515,3516,112.0,0.0,UK,7000000.0,1738692.0,95529,301.0,389.0,38000,159.0,3000.0,294.0,77.0,3547,7.5,Good
150,151,153.0,0.0,USA,140000000.0,201573391.0,322395,1171.0,167.0,11000,0.0,13000.0,12000.0,537.0,26029,6.6,Good
127,128,120.0,0.0,Australia,150000000.0,153629485.0,552503,1588.0,739.0,191000,750.0,27000.0,9000.0,943.0,40025,8.1,Excellent
4269,4270,100.0,2.0,USA,2000000.0,6531491.0,111658,297.0,365.0,20000,81.0,34000.0,248.0,179.0,34446,7.2,Good
2280,2281,108.0,1.0,USA,22000000.0,12232937.0,22823,113.0,113.0,0,212.0,969.0,794.0,347.0,2799,5.6,Fair
1024,1025,107.0,0.0,USA,50000000.0,9795017.0,9227,70.0,50.0,422,607.0,2000.0,979.0,602.0,5461,5.1,Fair
2157,2158,138.0,0.0,USA,19000000.0,130727000.0,887467,916.0,185.0,40000,438.0,12000.0,826.0,173.0,13184,8.6,Excellent
3561,3562,88.0,2.0,USA,6500000.0,13367101.0,19715,166.0,111.0,515,132.0,435.0,230.0,180.0,1140,5.9,Fair
4716,4717,102.0,2.0,France,,,389,1.0,18.0,36,12.0,541.0,8.0,2.0,553,7.2,Good
3967,3968,120.0,0.0,UK,2000000.0,,23713,167.0,62.0,2000,160.0,559.0,269.0,94.0,1238,7.9,Good
3286,3287,123.0,1.0,USA,9000000.0,24530513.0,66610,429.0,263.0,0,909.0,909.0,203.0,184.0,1633,8.0,Good
4017,4018,100.0,0.0,USA,3500000.0,29233.0,75,2.0,6.0,121,117.0,21.0,3.0,0.0,24,7.0,Good
914,915,125.0,12.0,USA,52000000.0,110476776.0,95437,211.0,186.0,9000,0.0,14000.0,12000.0,11000.0,45696,5.7,Fair
1297,1298,122.0,0.0,France,77000000.0,33201661.0,534262,1314.0,242.0,39000,0.0,326.0,326.0,54.0,809,8.4,Excellent
569,570,110.0,1.0,USA,70000000.0,47456450.0,101386,289.0,234.0,0,532.0,3000.0,638.0,461.0,5187,7.1,Good
4713,4714,105.0,3.0,UK,400000.0,,74,2.0,22.0,34,0.0,0.0,0.0,0.0,0,7.7,Good
4974,4975,87.0,0.0,USA,60000.0,536767.0,1622,83.0,32.0,30,0.0,1000.0,184.0,153.0,1362,5.3,Fair
2406,2407,180.0,0.0,USA,18000000.0,51600000.0,270790,549.0,134.0,16000,869.0,692.0,670.0,521.0,3076,8.3,Excellent
4254,4255,102.0,1.0,Hong Kong,2000000.0,11546543.0,34520,146.0,77.0,0,32.0,483.0,147.0,75.0,768,7.6,Good
2998,2999,114.0,0.0,USA,10000000.0,447750.0,18520,133.0,81.0,0,0.0,865.0,685.0,403.0,2126,7.2,Good
360,361,151.0,0.0,USA,90000000.0,132373442.0,873649,2054.0,352.0,29000,17000.0,29000.0,13000.0,1000.0,45648,8.5,Excellent
3878,3879,111.0,4.0,USA,150000000.0,34964818.0,39975,186.0,256.0,24000,456.0,20000.0,559.0,394.0,21404,5.8,Fair
1684,1685,96.0,2.0,USA,30000000.0,18967571.0,23345,167.0,105.0,629,845.0,978.0,968.0,488.0,3072,6.1,Good
4342,4343,99.0,2.0,USA,1900000.0,4600000.0,11763,111.0,45.0,0,28.0,18000.0,1000.0,223.0,19649,7.1,Good
3342,3343,119.0,0.0,UK,8500000.0,4440055.0,21360,110.0,222.0,0,319.0,2000.0,552.0,179.0,3279,7.0,Good
469,470,134.0,4.0,USA,68000000.0,85707116.0,303185,701.0,406.0,82000,452.0,11000.0,8000.0,697.0,20411,7.6,Good
2405,2406,107.0,1.0,USA,15000000.0,59735548.0,290949,629.0,217.0,13000,323.0,1000.0,1000.0,794.0,4223,7.8,Good
3914,3915,107.0,2.0,USA,25000000.0,14637490.0,16411,136.0,160.0,0,0.0,798.0,374.0,255.0,2537,4.8,Fair
3057,3058,118.0,1.0,USA,11000000.0,9170214.0,171882,292.0,80.0,14000,529.0,40000.0,29000.0,472.0,69746,7.8,Good
66,67,96.0,1.0,USA,175000000.0,292979556.0,665575,704.0,408.0,27000,0.0,1000.0,848.0,262.0,2635,8.3,Excellent
4669,4670,93.0,4.0,USA,600000.0,35688.0,4167,72.0,6.0,0,247.0,247.0,217.0,152.0,954,5.1,Fair
3635,3636,104.0,5.0,France,,181798.0,2591,36.0,60.0,52,324.0,173.0,67.0,27.0,282,6.6,Good
3670,3671,105.0,0.0,Australia,5500000.0,35811509.0,43013,104.0,71.0,0,96.0,509.0,294.0,35.0,888,7.7,Good
2918,2919,80.0,0.0,France,9600000.0,71442.0,12029,32.0,99.0,0,2.0,6000.0,637.0,186.0,6829,7.9,Good
187,188,94.0,0.0,USA,135000000.0,177343675.0,70121,214.0,165.0,26000,12.0,17000.0,523.0,183.0,17883,6.7,Good
1034,1035,64.0,8.0,USA,,,50391,148.0,30.0,31000,,1000.0,531.0,184.0,1863,8.5,Excellent
3716,3717,104.0,0.0,USA,5000000.0,27689474.0,85688,339.0,336.0,23000,59.0,972.0,407.0,202.0,2071,6.5,Good
1590,1591,106.0,2.0,USA,31000000.0,11854694.0,14281,64.0,126.0,0,12.0,11000.0,3000.0,946.0,17560,6.5,Good
461,462,154.0,3.0,USA,79000000.0,95632614.0,118483,674.0,198.0,0,333.0,22000.0,20000.0,16000.0,61110,7.2,Good
1312,1313,84.0,3.0,France,40000000.0,4777007.0,15130,98.0,61.0,565,8.0,545.0,248.0,219.0,1149,5.8,Fair
3709,3710,109.0,2.0,USA,4500000.0,34468224.0,105568,533.0,185.0,0,260.0,9000.0,844.0,592.0,11736,7.3,Good
1787,1788,107.0,2.0,USA,28000000.0,6998324.0,11476,50.0,125.0,0,234.0,1000.0,962.0,660.0,3944,6.1,Good
186,187,115.0,3.0,USA,120000000.0,292298923.0,185394,329.0,322.0,65000,386.0,21000.0,17000.0,12000.0,59177,5.5,Fair
1751,1752,110.0,3.0,UK,29000000.0,,2167,32.0,87.0,0,350.0,11000.0,183.0,83.0,11534,7.1,Good
4070,4071,128.0,1.0,USA,6000000.0,,18656,137.0,64.0,933,13000.0,18.0,16.0,14.0,70,6.7,Good
1991,1992,95.0,2.0,USA,25000000.0,5516708.0,11375,91.0,87.0,295,6.0,849.0,841.0,248.0,2413,4.9,Fair
4339,4340,88.0,0.0,USA,1250000.0,,2348,25.0,23.0,0,6.0,680.0,418.0,233.0,1425,3.4,Bad
3394,3395,92.0,0.0,USA,8000000.0,5018450.0,8546,86.0,72.0,859,26.0,1000.0,905.0,417.0,2687,5.3,Fair
3314,3315,97.0,3.0,USA,9000000.0,883887.0,1201,14.0,26.0,0,3.0,679.0,537.0,204.0,1426,6.2,Good
745,746,146.0,2.0,USA,70000000.0,77862546.0,266310,690.0,171.0,14000,12000.0,18000.0,992.0,451.0,20454,7.7,Good
1122,1123,100.0,0.0,Australia,45000000.0,17300889.0,27648,148.0,60.0,0,23.0,1000.0,642.0,579.0,3855,4.9,Fair
3179,3180,96.0,1.0,USA,10000000.0,6044618.0,6200,92.0,38.0,398,9.0,12000.0,11000.0,934.0,26961,5.6,Fair
1176,1177,110.0,0.0,USA,41000000.0,116724075.0,187181,564.0,119.0,0,161.0,1000.0,418.0,196.0,1954,7.0,Good
2278,2279,94.0,2.0,USA,20000000.0,12398628.0,21542,88.0,64.0,977,394.0,922.0,855.0,565.0,2880,6.1,Good
2628,2629,183.0,2.0,UK,15000000.0,,232577,1026.0,140.0,11000,517.0,22000.0,11000.0,652.0,34025,8.2,Excellent
76,77,118.0,4.0,USA,175000000.0,150167630.0,174578,534.0,250.0,0,208.0,23000.0,2000.0,570.0,26683,5.8,Fair
1119,1120,124.0,0.0,USA,45000000.0,19719930.0,42621,531.0,150.0,0,0.0,723.0,44.0,19.0,793,6.8,Good
3221,3222,101.0,1.0,France,,244465.0,1135,14.0,22.0,85,163.0,837.0,130.0,34.0,1019,6.8,Good
4462,4463,135.0,2.0,USA,1592000.0,638951.0,775,19.0,15.0,100,5.0,51.0,24.0,5.0,83,7.4,Good
377,378,106.0,0.0,USA,90000000.0,68558662.0,86627,204.0,183.0,28000,87.0,8000.0,956.0,918.0,10882,5.9,Fair
766,767,100.0,0.0,Australia,60000000.0,257756197.0,246698,471.0,435.0,64000,97.0,11000.0,8000.0,2000.0,22128,7.8,Good
1912,1913,80.0,0.0,USA,25000000.0,39399750.0,5674,35.0,45.0,329,0.0,971.0,503.0,362.0,3017,5.6,Fair
286,287,119.0,0.0,USA,100000000.0,180011740.0,177725,1368.0,230.0,0,13000.0,1000.0,658.0,567.0,2776,5.7,Fair
1215,1216,114.0,2.0,USA,40000000.0,70836296.0,109445,426.0,109.0,0,101.0,700.0,655.0,398.0,2842,5.9,Fair
4764,4765,103.0,3.0,UK,,,26863,54.0,48.0,0,21.0,25000.0,766.0,680.0,26999,7.2,Good
3248,3249,106.0,2.0,Germany,10000000.0,,3075,31.0,75.0,589,261.0,30000.0,744.0,520.0,31325,6.3,Good
3462,3463,96.0,0.0,USA,7500000.0,143492840.0,414335,881.0,387.0,10000,655.0,24000.0,3000.0,973.0,28817,7.5,Good
2439,2440,107.0,0.0,USA,18000000.0,,27629,149.0,120.0,2000,0.0,517.0,376.0,101.0,1067,7.4,Good
4829,4830,80.0,3.0,USA,300000.0,2360184.0,18035,177.0,131.0,0,54.0,1000.0,806.0,543.0,3010,7.1,Good
2232,2233,90.0,0.0,USA,20000000.0,25077977.0,10986,84.0,84.0,0,0.0,681.0,611.0,518.0,2486,5.3,Fair
3565,3566,101.0,0.0,UK,6500000.0,4000304.0,145395,375.0,486.0,23000,0.0,13000.0,898.0,726.0,15230,7.3,Good
2580,2581,97.0,1.0,USA,16000000.0,1686429.0,8687,62.0,36.0,0,34.0,503.0,489.0,465.0,3100,2.8,Bad
3755,3756,96.0,6.0,USA,5000000.0,9658370.0,1180,9.0,12.0,740,23.0,927.0,509.0,503.0,3552,4.5,Fair
4427,4428,91.0,1.0,USA,1500000.0,119841.0,2419,55.0,31.0,304,18.0,954.0,767.0,597.0,3901,6.5,Good
1987,1988,88.0,1.0,USA,17000000.0,9286314.0,4972,62.0,27.0,0,22.0,174.0,132.0,120.0,583,5.9,Fair
1472,1473,109.0,3.0,USA,35000000.0,19692608.0,63548,134.0,298.0,0,90.0,1000.0,412.0,344.0,2073,6.2,Good
4438,4439,20.0,0.0,USA,1500000.0,,4120,70.0,56.0,0,21.0,0.0,0.0,0.0,0,6.8,Good
2524,2525,98.0,1.0,Ireland,17000000.0,1569918.0,16234,113.0,106.0,0,541.0,214.0,96.0,71.0,409,6.9,Good
994,995,117.0,1.0,USA,40000000.0,32800000.0,34896,118.0,51.0,877,31.0,2000.0,472.0,210.0,3016,4.3,Fair
1805,1806,115.0,1.0,USA,27000000.0,60491560.0,50653,143.0,83.0,0,39.0,11000.0,956.0,685.0,14322,6.6,Good
895,896,123.0,0.0,USA,57000000.0,26838389.0,58658,495.0,190.0,0,488.0,5000.0,4000.0,2000.0,12700,6.4,Good
4481,4482,27.0,0.0,USA,,,3282,17.0,19.0,632,,934.0,691.0,201.0,1961,7.3,Good
2714,2715,88.0,1.0,USA,15000000.0,6373693.0,11498,53.0,97.0,0,96.0,24000.0,971.0,360.0,25637,5.3,Fair
1114,1115,102.0,2.0,Germany,52000000.0,36883539.0,112769,305.0,199.0,0,503.0,13000.0,929.0,795.0,15053,6.6,Good
4488,4489,104.0,0.0,USA,80000000.0,79363785.0,139426,698.0,276.0,0,301.0,18000.0,4000.0,71.0,22194,5.5,Fair
2929,2930,154.0,5.0,USA,12000000.0,39647595.0,239540,462.0,140.0,0,16000.0,22000.0,1000.0,889.0,25522,7.5,Good
2458,2459,60.0,1.0,USA,,,12854,44.0,14.0,0,,654.0,426.0,405.0,1906,6.7,Good
4036,4037,97.0,5.0,USA,3300000.0,,557,3.0,1.0,0,246.0,756.0,521.0,491.0,3717,4.5,Fair
548,549,131.0,2.0,USA,80000000.0,42044321.0,65668,342.0,124.0,0,274.0,11000.0,964.0,138.0,12522,6.5,Good
2519,2520,122.0,2.0,Germany,17000000.0,6855137.0,88590,419.0,157.0,0,47.0,23000.0,979.0,834.0,27381,7.4,Good
3507,3508,113.0,2.0,USA,7000000.0,4720371.0,3203,85.0,27.0,650,7.0,11000.0,43.0,35.0,11116,6.5,Good
2067,2068,94.0,2.0,USA,23000000.0,11508423.0,3174,19.0,47.0,376,258.0,721.0,463.0,424.0,2453,5.1,Fair
4078,4079,11.0,0.0,USA,,,32923,75.0,38.0,1000,,11.0,0.0,0.0,11,7.8,Good
358,359,114.0,1.0,USA,90000000.0,58229120.0,236421,515.0,362.0,70000,0.0,3000.0,806.0,423.0,5095,7.3,Good
2103,2104,104.0,5.0,USA,22000000.0,30059386.0,128593,867.0,181.0,0,0.0,8000.0,1000.0,898.0,11632,6.9,Good
2204,2205,103.0,8.0,USA,19800000.0,34290142.0,54242,145.0,156.0,14000,189.0,2000.0,1000.0,949.0,4662,6.6,Good
3802,3803,92.0,0.0,UK,2500000.0,,10056,82.0,80.0,639,46.0,570.0,337.0,141.0,1258,6.2,Good
3106,3107,153.0,1.0,UK,10000000.0,16800000.0,25303,138.0,56.0,0,82.0,695.0,275.0,139.0,1593,7.5,Good
4187,4188,104.0,2.0,USA,2500000.0,6401336.0,36996,153.0,63.0,0,835.0,18000.0,595.0,535.0,19923,7.1,Good
1795,1796,133.0,2.0,USA,30000000.0,148734225.0,298590,559.0,251.0,0,0.0,11000.0,985.0,529.0,12874,7.0,Good
3157,3158,108.0,1.0,USA,5000000.0,43771291.0,79909,279.0,297.0,15000,0.0,1000.0,562.0,458.0,3215,7.1,Good
780,781,117.0,1.0,UK,80000000.0,43290977.0,75201,256.0,258.0,0,258.0,2000.0,1000.0,896.0,7053,6.6,Good
3132,3133,96.0,1.0,USA,10000000.0,20384136.0,20467,371.0,120.0,0,9.0,690.0,533.0,448.0,2402,4.7,Fair
1171,1172,91.0,1.0,USA,40000000.0,26404753.0,34203,169.0,127.0,19000,30.0,922.0,786.0,497.0,3301,5.3,Fair
1898,1899,100.0,0.0,USA,25000000.0,52528330.0,4265,27.0,24.0,0,0.0,975.0,521.0,400.0,3202,4.7,Fair
3279,3280,181.0,0.0,USA,9000000.0,50000000.0,29839,150.0,66.0,0,278.0,402.0,343.0,51.0,934,8.0,Good
729,730,132.0,0.0,USA,61000000.0,81687587.0,138246,360.0,249.0,24000,47.0,988.0,960.0,240.0,2517,6.4,Good
3537,3538,80.0,1.0,Russia,7000000.0,,1159,9.0,10.0,453,0.0,99.0,62.0,26.0,218,5.3,Fair
4665,4666,83.0,0.0,Argentina,800000.0,,772,11.0,25.0,83,0.0,24.0,5.0,0.0,29,7.2,Good
3577,3578,108.0,0.0,USA,4000000.0,,39856,300.0,203.0,0,228.0,431.0,426.0,358.0,2020,7.3,Good
2621,2622,94.0,0.0,UK,9800000.0,56437947.0,85333,421.0,280.0,0,350.0,326.0,48.0,39.0,486,7.3,Good
3946,3947,112.0,0.0,Australia,16000000.0,317125.0,23334,87.0,141.0,0,105.0,18000.0,6000.0,748.0,25269,6.2,Good
3398,3399,129.0,0.0,UK,10000000.0,3205244.0,23629,141.0,248.0,0,608.0,1000.0,579.0,386.0,2265,7.3,Good
3201,3202,98.0,0.0,USA,10000000.0,1754319.0,13174,81.0,94.0,0,129.0,749.0,252.0,221.0,2214,7.2,Good
3087,3088,106.0,4.0,France,11000000.0,,15060,27.0,94.0,0,7.0,68.0,29.0,24.0,175,7.4,Good
3237,3238,94.0,3.0,Canada,,140987.0,361,4.0,16.0,58,50.0,835.0,632.0,422.0,2519,4.2,Fair
4021,4022,90.0,1.0,UK,3440000.0,,610,18.0,3.0,606,0.0,1000.0,53.0,37.0,1183,3.1,Bad
230,231,117.0,0.0,USA,100000000.0,58607007.0,182899,630.0,492.0,60000,294.0,10000.0,2000.0,1000.0,14161,6.2,Good
1696,1697,114.0,0.0,USA,30000000.0,12831121.0,44979,298.0,98.0,0,118.0,489.0,93.0,40.0,679,7.0,Good
536,537,43.0,1.0,USA,,,36919,94.0,12.0,10000,,1000.0,560.0,218.0,1990,7.5,Good
374,375,150.0,2.0,USA,90000000.0,100853835.0,200556,611.0,159.0,15000,0.0,11000.0,1000.0,135.0,12289,7.4,Good
2326,2327,118.0,4.0,USA,20000000.0,2246000.0,2302,20.0,27.0,0,14.0,2000.0,769.0,400.0,3384,7.0,Good
4119,4120,98.0,0.0,Germany,2700000.0,95016.0,11074,56.0,40.0,442,7.0,289.0,38.0,17.0,362,7.4,Good
3798,3799,103.0,0.0,Germany,5000000.0,16066.0,1207,44.0,13.0,40,34.0,811.0,522.0,227.0,1789,3.3,Bad
4750,4751,82.0,0.0,France,500000.0,98017.0,26185,170.0,230.0,46000,248.0,353.0,248.0,196.0,1498,5.8,Fair
86,87,93.0,2.0,USA,165000000.0,238371987.0,138661,173.0,226.0,0,31.0,4000.0,225.0,213.0,4628,6.4,Good
3355,3356,95.0,0.0,UK,,76657000.0,25498,92.0,63.0,0,21.0,1000.0,985.0,842.0,5673,7.7,Good
4820,4821,101.0,0.0,USA,300000.0,47000000.0,157863,1191.0,318.0,12000,0.0,2000.0,742.0,598.0,4400,7.9,Good
4327,4328,92.0,1.0,USA,2300000.0,7927.0,19236,175.0,90.0,0,0.0,1000.0,29.0,18.0,1055,7.7,Good
2194,2195,110.0,1.0,USA,22000000.0,39263506.0,40469,135.0,165.0,0,119.0,1000.0,931.0,332.0,2382,6.1,Good
2168,2169,114.0,0.0,USA,30000000.0,12831121.0,44979,298.0,98.0,0,118.0,489.0,93.0,40.0,679,7.0,Good
965,966,98.0,2.0,Germany,50000000.0,55682070.0,159868,304.0,349.0,45000,75.0,10000.0,520.0,467.0,11946,6.1,Good
3156,3157,104.0,0.0,USA,10000000.0,12514138.0,2801,28.0,16.0,1000,28.0,962.0,826.0,582.0,3871,7.4,Good
482,483,99.0,4.0,USA,80000000.0,69772969.0,155532,543.0,166.0,0,57.0,20000.0,3000.0,820.0,25942,6.5,Good
3185,3186,120.0,0.0,USA,10000000.0,5484375.0,84641,205.0,198.0,0,0.0,23000.0,342.0,294.0,24270,7.3,Good
4570,4571,119.0,0.0,USA,1000000.0,798341.0,983,63.0,12.0,100,13.0,957.0,81.0,25.0,1107,7.2,Good
1281,1282,128.0,1.0,USA,40000000.0,24332324.0,13830,61.0,12.0,680,545.0,783.0,754.0,353.0,3126,6.1,Good
1676,1677,118.0,0.0,USA,30000000.0,30523568.0,54447,201.0,242.0,18000,301.0,2000.0,1000.0,897.0,5697,6.2,Good
3475,3476,143.0,4.0,Australia,105000000.0,144812796.0,362933,753.0,490.0,115000,1000.0,29000.0,509.0,76.0,29769,7.3,Good
973,974,125.0,1.0,USA,50000000.0,48154732.0,60326,142.0,97.0,2000,0.0,10000.0,2000.0,957.0,15569,5.8,Fair
1629,1630,131.0,0.0,USA,55000000.0,52799004.0,28942,223.0,85.0,0,43.0,18000.0,652.0,362.0,19815,6.1,Good
512,513,136.0,1.0,USA,100000000.0,67286731.0,67856,345.0,140.0,0,394.0,24000.0,10000.0,1000.0,36925,6.7,Good
437,438,110.0,0.0,USA,80000000.0,180965237.0,300542,378.0,154.0,0,0.0,10000.0,1000.0,898.0,12760,7.1,Good
2702,2703,117.0,1.0,USA,15000000.0,17439163.0,537419,1028.0,249.0,35000,0.0,22000.0,12000.0,12000.0,47728,8.2,Excellent
2592,2593,91.0,3.0,USA,15600000.0,13571817.0,5312,40.0,32.0,939,10.0,890.0,578.0,574.0,3104,4.5,Fair
1284,1285,108.0,1.0,USA,60000000.0,22433915.0,21319,166.0,104.0,416,105.0,22000.0,11000.0,616.0,34377,6.2,Good
1734,1735,153.0,0.0,USA,28000000.0,119518352.0,188637,815.0,291.0,11000,446.0,523.0,405.0,154.0,1383,7.9,Good
2885,2886,118.0,4.0,USA,13000000.0,1150403.0,14143,102.0,129.0,0,41.0,2000.0,812.0,442.0,3474,7.1,Good
1797,1798,114.0,3.0,USA,35000000.0,42168445.0,10791,39.0,76.0,464,92.0,940.0,706.0,436.0,3565,5.3,Fair
3809,3810,95.0,7.0,USA,,,1091,15.0,6.0,0,7.0,989.0,970.0,541.0,3514,5.1,Fair
4384,4385,104.0,2.0,India,1000000.0,4231500.0,30479,162.0,195.0,16000,25.0,638.0,85.0,73.0,822,7.8,Good
640,641,128.0,1.0,USA,70000000.0,39380442.0,174248,263.0,238.0,0,0.0,29000.0,149.0,135.0,29824,7.1,Good
1300,1301,107.0,3.0,USA,40000000.0,20113965.0,15231,66.0,125.0,0,42.0,875.0,596.0,171.0,1702,6.5,Good
975,976,132.0,0.0,Canada,50000000.0,46982632.0,172792,1740.0,267.0,0,50.0,992.0,495.0,368.0,1933,6.6,Good
2004,2005,122.0,2.0,USA,20000000.0,1697956.0,64944,212.0,280.0,6000,0.0,12000.0,463.0,407.0,13809,6.7,Good
542,543,45.0,1.0,USA,,,29450,67.0,12.0,0,,374.0,130.0,0.0,504,8.3,Excellent
3381,3382,128.0,0.0,USA,50000000.0,50815288.0,109191,625.0,358.0,0,79.0,13000.0,903.0,414.0,14747,7.0,Good
4424,4425,94.0,1.0,USA,,,919,14.0,8.0,0,13.0,1000.0,826.0,616.0,3288,6.7,Good
4504,4505,110.0,3.0,USA,1200000.0,3830.0,27,1.0,1.0,75,0.0,3.0,2.0,0.0,5,7.2,Good
4405,4406,88.0,0.0,USA,1500000.0,7362100.0,60295,232.0,110.0,0,387.0,436.0,25.0,18.0,479,7.4,Good
1062,1063,108.0,1.0,USA,47000000.0,5600000.0,11913,97.0,46.0,616,350.0,8000.0,115.0,77.0,8349,5.8,Fair
