,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
4114,4115,44.0,0.0,USA,,,2948,28.0,7.0,3000,,786.0,341.0,246.0,1551,7.9,Good
831,832,131.0,2.0,UK,57000000.0,25528495.0,28099,220.0,96.0,0,108.0,23000.0,243.0,58.0,23325,5.9,Fair
5021,5022,60.0,0.0,Kenya,15000.0,,70,1.0,6.0,45,0.0,147.0,19.0,4.0,170,7.4,Good
4886,4887,108.0,3.0,USA,250000.0,,330,2.0,17.0,231,0.0,431.0,297.0,142.0,1087,7.1,Good
4711,4712,90.0,0.0,USA,600000.0,13493.0,531,19.0,18.0,51,4.0,919.0,711.0,218.0,2288,6.6,Good
1642,1643,118.0,1.0,USA,,42643187.0,34910,145.0,95.0,0,0.0,696.0,663.0,543.0,2577,7.2,Good
1402,1403,129.0,0.0,USA,29000000.0,255950375.0,223127,420.0,261.0,38000,102.0,768.0,734.0,624.0,3389,7.7,Good
2233,2234,97.0,0.0,USA,20000000.0,23292105.0,39541,334.0,120.0,3000,212.0,960.0,917.0,637.0,3261,5.3,Fair
2867,2868,95.0,4.0,USA,13000000.0,7881335.0,21212,107.0,52.0,3000,0.0,899.0,849.0,650.0,3092,6.7,Good
1397,1398,105.0,0.0,Hong Kong,36000000.0,2126511.0,21912,45.0,78.0,12000,25.0,461.0,79.0,51.0,615,7.2,Good
178,179,156.0,0.0,USA,135000000.0,183635922.0,406020,1188.0,556.0,190000,0.0,29000.0,27000.0,733.0,57108,8.1,Excellent
740,741,111.0,0.0,USA,60000000.0,71844424.0,33158,223.0,136.0,0,197.0,433.0,208.0,6.0,679,7.3,Good
4762,4763,127.0,0.0,USA,500000.0,,16,3.0,,0,2.0,2.0,0.0,0.0,2,5.8,Fair
3934,3935,99.0,4.0,USA,4000000.0,562059.0,8535,113.0,41.0,872,60.0,979.0,665.0,444.0,3130,7.0,Good
2919,2920,94.0,1.0,USA,25000000.0,79817937.0,39798,69.0,29.0,0,23.0,400.0,255.0,148.0,1044,5.9,Fair
2757,2758,111.0,2.0,France,10000000.0,7691700.0,12937,73.0,136.0,0,15.0,1000.0,767.0,121.0,2140,7.5,Good
1263,1264,104.0,1.0,USA,30000000.0,42071069.0,36223,208.0,124.0,0,101.0,787.0,299.0,223.0,1827,6.2,Good
503,504,104.0,0.0,France,40000000.0,19406406.0,7630,42.0,113.0,0,63.0,67.0,63.0,7.0,152,7.8,Good
4892,4893,80.0,0.0,USA,210000.0,5000000.0,4812,88.0,67.0,465,7.0,57.0,40.0,21.0,205,6.7,Good
2553,2554,130.0,2.0,USA,16000000.0,28734552.0,9566,81.0,41.0,1000,309.0,939.0,881.0,522.0,3107,6.4,Good
1976,1977,104.0,2.0,France,17000000.0,,5525,11.0,58.0,853,8.0,172.0,20.0,8.0,210,6.3,Good
2114,2115,77.0,0.0,USA,22000000.0,9694105.0,8176,77.0,41.0,272,37.0,3000.0,968.0,795.0,5568,3.8,Bad
4085,4086,90.0,1.0,USA,3000000.0,5844929.0,6000,109.0,75.0,595,15.0,953.0,625.0,453.0,2510,7.0,Good
2608,2609,45.0,0.0,USA,,,18058,68.0,20.0,0,,460.0,292.0,260.0,2380,7.3,Good
1804,1805,106.0,0.0,UK,175000000.0,362645141.0,106221,398.0,370.0,65000,4000.0,19000.0,13000.0,591.0,32921,7.8,Good
308,309,121.0,4.0,USA,100000000.0,184031112.0,190786,539.0,144.0,0,541.0,920.0,710.0,680.0,2880,5.4,Fair
4040,4041,113.0,1.0,USA,3200000.0,,53741,214.0,107.0,0,673.0,756.0,423.0,332.0,2693,8.1,Excellent
1867,1868,133.0,3.0,USA,25000000.0,172825435.0,383784,331.0,100.0,12000,272.0,10000.0,898.0,628.0,12285,8.0,Good
188,189,116.0,0.0,USA,132000000.0,234277056.0,334345,2741.0,401.0,0,14000.0,10000.0,1000.0,807.0,12758,6.5,Good
387,388,138.0,1.0,UK,100000000.0,35168677.0,49311,278.0,136.0,0,0.0,14000.0,602.0,123.0,15149,6.7,Good
362,363,121.0,3.0,USA,92000000.0,110416702.0,307539,577.0,308.0,0,0.0,21000.0,1000.0,918.0,23484,7.0,Good
2804,2805,107.0,1.0,USA,14000000.0,4741987.0,6782,114.0,47.0,860,956.0,10000.0,233.0,113.0,10368,6.6,Good
74,75,113.0,1.0,USA,178000000.0,100189501.0,431620,741.0,585.0,77000,218.0,10000.0,854.0,509.0,12652,7.9,Good
3706,3707,135.0,1.0,USA,5000000.0,36000000.0,6359,69.0,42.0,0,28.0,726.0,422.0,275.0,1920,6.8,Good
4474,4475,87.0,0.0,USA,1250000.0,19100000.0,39690,394.0,242.0,0,49.0,309.0,121.0,59.0,707,6.1,Good
191,192,101.0,1.0,USA,110000000.0,118311368.0,245621,514.0,330.0,23000,176.0,11000.0,702.0,282.0,12406,6.4,Good
1328,1329,159.0,1.0,India,18026148.0,6498000.0,62756,410.0,44.0,21000,50.0,218.0,133.0,72.0,554,8.4,Excellent
4730,4731,120.0,1.0,USA,1000000.0,3773863.0,4583,55.0,20.0,0,3.0,984.0,801.0,234.0,2563,7.1,Good
1152,1153,93.0,0.0,USA,40000000.0,29113588.0,117999,181.0,252.0,16000,165.0,26000.0,956.0,350.0,27834,6.6,Good
4764,4765,103.0,3.0,UK,,,26863,54.0,48.0,0,21.0,25000.0,766.0,680.0,26999,7.2,Good
1712,1713,122.0,3.0,USA,18000000.0,26830000.0,101888,365.0,60.0,0,380.0,18000.0,11000.0,2000.0,32930,7.9,Good
1893,1894,107.0,2.0,UK,2800000.0,,80958,310.0,154.0,7000,503.0,264.0,139.0,108.0,673,7.6,Good
1375,1376,110.0,4.0,USA,38000000.0,46813366.0,39440,83.0,148.0,15000,11.0,2000.0,756.0,591.0,4882,6.1,Good
3435,3436,89.0,1.0,Hong Kong,7500000.0,32333860.0,29843,81.0,62.0,0,7.0,186.0,147.0,36.0,407,6.7,Good
4737,4738,101.0,0.0,USA,500000.0,1111615.0,651,34.0,3.0,44,0.0,69.0,34.0,17.0,155,6.0,Fair
2830,2831,108.0,0.0,UK,,2605039.0,85022,616.0,454.0,29000,143.0,19000.0,50.0,21.0,19086,6.3,Good
2058,2059,106.0,3.0,UK,23000000.0,15785632.0,32513,119.0,216.0,15000,452.0,20000.0,732.0,141.0,21195,7.5,Good
1089,1090,136.0,0.0,USA,30000000.0,67253092.0,92702,209.0,127.0,0,49.0,17000.0,807.0,730.0,20299,7.2,Good
2893,2894,102.0,0.0,France,13000000.0,2035566.0,77305,162.0,242.0,11000,43.0,170.0,157.0,113.0,931,6.6,Good
3138,3139,93.0,2.0,USA,9000000.0,17096053.0,134458,640.0,179.0,5000,0.0,13000.0,933.0,766.0,15716,7.7,Good
965,966,98.0,2.0,Germany,50000000.0,55682070.0,159868,304.0,349.0,45000,75.0,10000.0,520.0,467.0,11946,6.1,Good
3304,3305,95.0,1.0,USA,9000000.0,2955039.0,3624,27.0,65.0,313,49.0,702.0,616.0,261.0,2007,6.2,Good
4726,4727,87.0,6.0,USA,,,1305,3.0,8.0,244,490.0,833.0,523.0,201.0,2295,5.4,Fair
3417,3418,95.0,0.0,USA,8000000.0,108662.0,26849,107.0,79.0,3000,3.0,905.0,513.0,448.0,3185,6.0,Fair
4023,4024,80.0,0.0,France,8000000.0,77413017.0,45984,331.0,169.0,0,10.0,11000.0,108.0,34.0,11218,7.6,Good
2401,2402,98.0,2.0,USA,18000000.0,60057639.0,107815,485.0,195.0,10000,72.0,1000.0,624.0,566.0,3151,7.1,Good
955,956,133.0,1.0,USA,50000000.0,75605492.0,283563,312.0,419.0,27000,152.0,22000.0,18000.0,11000.0,53094,7.6,Good
4325,4326,90.0,1.0,USA,2000000.0,,355,6.0,8.0,44,5.0,601.0,453.0,372.0,2395,4.6,Fair
4389,4390,102.0,0.0,USA,,2507106.0,2561,21.0,15.0,0,11.0,651.0,611.0,575.0,3894,6.1,Good
3017,3018,89.0,6.0,USA,12000000.0,,105,7.0,3.0,634,49.0,551.0,85.0,84.0,895,2.8,Bad
3067,3068,104.0,0.0,USA,11000000.0,352786.0,11132,86.0,78.0,0,238.0,60.0,35.0,22.0,150,6.8,Good
2146,2147,127.0,1.0,France,20000000.0,24104113.0,149066,517.0,466.0,24000,140.0,19000.0,14000.0,10000.0,46241,7.1,Good
537,538,100.0,4.0,USA,35000000.0,73023275.0,16271,57.0,107.0,1000,87.0,3000.0,576.0,446.0,5174,5.4,Fair
3124,3125,85.0,0.0,USA,8500000.0,28563926.0,16300,217.0,86.0,720,21.0,931.0,855.0,782.0,3819,5.0,Fair
2595,2596,94.0,0.0,USA,,508867.0,1033,26.0,21.0,282,4.0,844.0,626.0,518.0,3583,6.5,Good
461,462,154.0,3.0,USA,79000000.0,95632614.0,118483,674.0,198.0,0,333.0,22000.0,20000.0,16000.0,61110,7.2,Good
3751,3752,141.0,2.0,USA,5000000.0,,2017,33.0,14.0,270,54.0,746.0,333.0,70.0,1332,6.2,Good
347,348,137.0,0.0,USA,107000000.0,22406362.0,16832,267.0,106.0,701,102.0,2000.0,973.0,877.0,5780,6.0,Fair
586,587,139.0,1.0,USA,80000000.0,136448821.0,98989,158.0,79.0,1000,2000.0,960.0,848.0,808.0,3667,6.6,Good
2447,2448,112.0,2.0,Germany,13000000.0,6615578.0,15352,82.0,184.0,0,97.0,577.0,416.0,231.0,1341,7.0,Good
522,523,129.0,0.0,USA,73000000.0,229074524.0,278362,552.0,177.0,0,14000.0,610.0,506.0,227.0,1635,6.5,Good
3117,3118,140.0,0.0,UK,10000000.0,32101000.0,27800,96.0,48.0,0,32.0,535.0,211.0,120.0,1109,5.4,Fair
2664,2665,103.0,2.0,USA,15000000.0,26161406.0,13874,52.0,81.0,0,20.0,512.0,316.0,125.0,1002,6.7,Good
2082,2083,97.0,0.0,USA,22000000.0,144833357.0,64742,111.0,64.0,0,11.0,901.0,775.0,595.0,2790,6.4,Good
2045,2046,98.0,1.0,USA,24000000.0,23225911.0,80574,157.0,196.0,12000,88.0,12000.0,854.0,706.0,14699,6.5,Good
2563,2564,109.0,0.0,USA,16000000.0,16346122.0,25549,171.0,103.0,0,7.0,835.0,787.0,450.0,2572,7.2,Good
3722,3723,77.0,1.0,USA,5000000.0,19421271.0,2448,18.0,28.0,122,0.0,2000.0,804.0,73.0,2908,5.0,Fair
1684,1685,96.0,2.0,USA,30000000.0,18967571.0,23345,167.0,105.0,629,845.0,978.0,968.0,488.0,3072,6.1,Good
4094,4095,95.0,0.0,USA,3000000.0,3559990.0,8005,49.0,30.0,417,45.0,578.0,341.0,267.0,1363,5.3,Fair
2714,2715,88.0,1.0,USA,15000000.0,6373693.0,11498,53.0,97.0,0,96.0,24000.0,971.0,360.0,25637,5.3,Fair
2694,2695,124.0,0.0,USA,15000000.0,10763469.0,13692,55.0,42.0,877,11000.0,11000.0,860.0,563.0,12685,6.4,Good
3595,3596,144.0,0.0,USA,8000000.0,20400000.0,6304,87.0,32.0,403,54.0,469.0,436.0,332.0,2037,6.9,Good
4848,4849,96.0,0.0,USA,250000.0,,1905,58.0,78.0,249,5.0,431.0,338.0,180.0,1228,4.5,Fair
4765,4766,104.0,2.0,USA,500000.0,,2012,28.0,64.0,0,32.0,685.0,492.0,238.0,2102,3.5,Bad
2332,2333,122.0,0.0,USA,10000000.0,531009.0,7976,61.0,131.0,0,11000.0,11000.0,11000.0,188.0,22319,5.3,Fair
3708,3709,93.0,0.0,USA,8500000.0,34872293.0,30765,252.0,91.0,963,54.0,40000.0,618.0,581.0,42002,4.9,Fair
2411,2412,44.0,8.0,USA,,,65785,281.0,20.0,0,,828.0,787.0,650.0,2546,7.5,Good
